,k,metric,weights,acc
39,3,cosine,distance,0.9715265835530154
44,5,cosine,distance,0.9708433202725268
87,9,correlation,harmonic,0.9703317321008302
73,3,euclidean,harmonic,0.9690905477633938
4,3,cosine,uniform,0.9690031784603937
77,5,correlation,harmonic,0.9689519547482537
76,5,chebyshev,harmonic,0.9683861225876367
78,5,euclidean,harmonic,0.9683057270766482
49,7,cosine,distance,0.9680340338611829
83,7,euclidean,harmonic,0.9677169211485014
71,3,chebyshev,harmonic,0.9673932567468218
88,9,euclidean,harmonic,0.9673355956624433
91,11,chebyshev,harmonic,0.9672787949445382
82,7,correlation,harmonic,0.9672686683866759
72,3,correlation,harmonic,0.9671222740706233
94,11,cosine,harmonic,0.9670748083269727
79,5,cosine,harmonic,0.9669051043569914
102,15,correlation,harmonic,0.9668669638391763
84,7,cosine,harmonic,0.9667491748767751
81,7,chebyshev,harmonic,0.9667475251957912
54,9,cosine,distance,0.9667214384463244
86,9,chebyshev,harmonic,0.9664773329780197
97,13,correlation,harmonic,0.9664746872183679
74,3,cosine,harmonic,0.966246390941142
89,9,cosine,harmonic,0.9662314103638489
92,11,correlation,harmonic,0.9662041809659223
98,13,euclidean,harmonic,0.9660762940129991
99,13,cosine,harmonic,0.9659093128866161
104,15,cosine,harmonic,0.9659057709879088
37,3,correlation,distance,0.9656444479827624
101,15,chebyshev,harmonic,0.9648951402480945
38,3,euclidean,distance,0.9646430194833792
93,11,euclidean,harmonic,0.9645938967072472
103,15,euclidean,harmonic,0.964588133099053
59,11,cosine,distance,0.9645837087116642
96,13,chebyshev,harmonic,0.9639106974294256
9,5,cosine,uniform,0.9636008955250327
80,7,canberra,harmonic,0.9635036676813564
69,15,cosine,distance,0.96319763092388
64,13,cosine,distance,0.9621148576215113
75,5,canberra,harmonic,0.9619679412287628
47,7,correlation,distance,0.9613492527094857
100,15,canberra,harmonic,0.9613189855740051
3,3,euclidean,uniform,0.961092398060359
85,9,canberra,harmonic,0.9608883221877772
95,13,canberra,harmonic,0.9607604637930323
90,11,canberra,harmonic,0.9601071239071652
43,5,euclidean,distance,0.9599713061266932
42,5,correlation,distance,0.9597937584603166
70,3,canberra,harmonic,0.959654028320813
2,3,correlation,uniform,0.9595328326270756
52,9,correlation,distance,0.9577728965920534
14,7,cosine,uniform,0.9574660508070616
35,3,canberra,distance,0.9562771334480427
57,11,correlation,distance,0.9555170057858492
19,9,cosine,uniform,0.9551630608677613
8,5,euclidean,uniform,0.9547566440773558
0,3,canberra,uniform,0.9541026175769972
62,13,correlation,distance,0.9538696269258248
53,9,euclidean,distance,0.9532699446903716
45,7,canberra,distance,0.9531439445685866
67,15,correlation,distance,0.9529578881633907
48,7,euclidean,distance,0.952740905138953
36,3,chebyshev,distance,0.9526980788879194
40,5,canberra,distance,0.9521817242198581
7,5,correlation,uniform,0.9520745063241783
58,11,euclidean,distance,0.9516205184292235
18,9,euclidean,uniform,0.9514893619438992
1,3,chebyshev,uniform,0.9514731143964649
24,11,cosine,uniform,0.9510304716694137
41,5,chebyshev,distance,0.9501110173948049
10,7,canberra,uniform,0.9497558883013474
29,13,cosine,uniform,0.9496070594998957
12,7,correlation,uniform,0.9495968728424953
13,7,euclidean,uniform,0.9490807829177899
5,5,canberra,uniform,0.9490424324207938
17,9,correlation,uniform,0.9485937287427405
34,15,cosine,uniform,0.9471403498699988
55,11,canberra,distance,0.9460042977385958
63,13,euclidean,distance,0.9456167710598696
68,15,euclidean,distance,0.9452056242118242
50,9,canberra,distance,0.9446996366689302
46,7,chebyshev,distance,0.9435966069844294
6,5,chebyshev,uniform,0.9433967731494277
22,11,correlation,uniform,0.9429387872533719
23,11,euclidean,uniform,0.9422899392629025
60,13,canberra,distance,0.9419644120492539
56,11,chebyshev,distance,0.9416627444959459
51,9,chebyshev,distance,0.9409141379479934
65,15,canberra,distance,0.9408998166276571
27,13,correlation,uniform,0.9403174424028478
15,9,canberra,uniform,0.9396486197790638
32,15,correlation,uniform,0.9390119110164449
28,13,euclidean,uniform,0.9383787797865216
11,7,chebyshev,uniform,0.9382538208776878
61,13,chebyshev,distance,0.9372251768279141
20,11,canberra,uniform,0.9372183966317504
33,15,euclidean,uniform,0.9359879320188835
25,13,canberra,uniform,0.9347352563238185
16,9,chebyshev,uniform,0.9334036477924276
30,15,canberra,uniform,0.9316854424556232
66,15,chebyshev,distance,0.9312237711541443
21,11,chebyshev,uniform,0.9312126759225027
26,13,chebyshev,uniform,0.9276225776740208
31,15,chebyshev,uniform,0.9237637946786231
